,common lisp,wisp,racket,clojure,emacs lisp
,,,,,
Github popularity,,,,,
,,,,,
,,,,,
requirements,,"# in a non-root shell
# # lines are just comments
# tested in Ubuntu 20.04 (in WSL)
...",,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
version used,*SBCL 1.2*,GNU Guile 3.0.1,*Racket 6.1*,*Clojure 1.6*,*Emacs 24.5*
show version,$ sbcl --version,guile --version,$ racket --version,*displayed by repl on startup*,$ emacs --version
grammar and execution,,,,,
compiler,,,$ raco make *module*.rkt,,M-x byte-compile-file
standalone executable,"(sb-ext:save-lisp-and-die
  ""*executable*""
  :executable t
  :toplevel '*function*)",,$ mzc —exe *executable**file*,,
interpreter,$ sbcl --script foo.lisp,,$ racket -r foo.racket,"*specify full path to clojure jar:*

java -cp clojure.jar clojure.main foo.clj",
shebang,#!/usr/bin/env sbcl --script,,#!/usr/bin/env racket --script,"*specify full path to clojure jar:*

#!/usr/bin/env java -jar clojure.jar",#!/usr/bin/env emacs --script
repl,$ sbcl,"# in the wisp-folder
guile -L . --language=wisp
# or
rlwrap guile -L . --language=wisp",$ racket,$ java -jar /PATH/TO/clojure.jar,M-x ielm
command line program,,,$ racket -e '(+ 1 1)',,
word separator,*whitespace*,,*whitespace*,*whitespace and commas*,*whitespace*
end-of-line comment,(+ 1 1) ; adding,,(+ 1 1) ; adding,(+ 1 1) ; adding,(+ 1 1) ; adding
multiple line comment,(+ 1 #| adding |# 1),,(+ 1 #| adding |# 1),,
variables and expressions,,,,,
identifier,"*case insensitive, cannot start with digit*

*excluded characters:*
SP ( ) "" , ' ` : ; # | \

*reserved for user macros:*
? ! [ ] { }",,"*case sensitive, cannot start with digit*

*excluded characters:*
SP ( ) [ ] { } "" , ' ` ; # | \","*case sensitive, cannot start with digit*

*permitted characters:*
A-Z a-z 0-9 * + ! - _ ?

*these have special meaning or are reserved:*
/ . :","*case sensitive, cannot start with digit*

*excluded characters:*
SP ( ) "" , ' ` ; # | \ _ [ ]"
"quoted identifier
*and escaped identifier*","(setq |white space symbol| 3)

(setq white\ space\ symbol 3)",,"(define |white space symbol| 3)

(define white\ space\ symbol 3)","*none*

*none*","*none*

(setq white\ space\ symbol 3)"
local variable,"; parallel assignment:
(let ((x 3) (y 4))
  (+ x y))

; sequential assignment:
(let* ((x 3) (y (* x x)))
  (+ x y))",,"; parallel assignment:
(let ((x 3) (y 4))
  (+ x y))

; sequential assignment:
(let* ((x 3) (y (* x x)))
  (+ x y))","(let [x 3 y 4]
  (+ x y))

(let [[x y] [3 4]]
  (+ x y))

(let [x 3 y (* x x)]
  (+ x y))","; parallel assignment:
(lexical-let ((x 3) (y 4))
  (+ x y))

(lexical-let* ((x 3) (y (* x x)))
  (+ x y))"
global variable,"(defparameter *x* 3)

; doesn't change x if already set:
(defvar *x* 3)",,"(define x 3)

; y is not global:
(define (double z)
  (define y 2)
  (* y z))",(def x 3),"(set 'x 3)
(setq x 3)"
remove variable,(makunbound 'x),,(namespace-undefine-variable! 'x),(ns-unmap *ns* 'x),(makunbound 'x)
null,nil '(),,null '(),"; same value as null in Java:
nil",nil '()
null test,(null x),,(null? x),(nil? x),(null x)
identifier as value,"x
(quote x)",,"x
(quote x)","x
(quote x)","x
(quote x)"
identifier test,(symbolp 'x),,(symbol? 'x),(symbol? 'x),(symbolp 'x)
identifier equality test,(eq 'x 'x),,(eq? 'x 'x),(= 'x 'x),(eq 'x 'x)
non-referential identifier,:foo,,#:foo,:foo,:foo
"identifier attributes
*set, get, remove*","(set 'x 13)

(setf (get 'x :desc) ""unlucky"")
(get 'x :desc)
(remprop 'x :desc)",,*none*,"; value must be instance of clojure.lang.IObj:

(def x (with-meta [13] {:desc ""unlucky""}))
(get (meta x) :desc)
; none","(set 'x 13)

(setf (get 'x :desc) ""unlucky"")
(get 'x :desc)
(remprop 'x :desc)"
arithmetic and logic,,,,,
true and false,t nil,,"#t #f
true false",true false,t nil
falsehoods,nil (),,#f false,false nil,nil ()
logical operators,(or (not t) (and t nil)),,(or (not #t) (and #t #f)),(or (not true) (and true false)),(or (not t) (and t nil))
relational operators,= /= < > <= >=,,=*none* < > <= >=,= not= < > <= >=,= /= < > <= >=
min and max,"(min 1 2 3)
(max 1 2 3)",,"(min 1 2 3)
(max 1 2 3)","(min 1 2 3)
(max 1 2 3)","(min 1 2 3)
(max 1 2 3)"
numeric predicates,"numberp integerp
rationalp floatp
realp complexp",,"number? integer?
rational? inexact?
real? complex?","number? integer?
rational? float?
*none**none*","numberp integerp
*none* floatp
*none**none*"
arithmetic operators,+ - * / mod,,+ - * / modulo,+ - * / mod,+ - * / %
"integer division
*and remainder*","(truncate 7 3)
(rem 7 3)",,"(quotient 7 3)
(remainder 7 3)","(quot 7 3)
(rem 7 3)","(/ 7 3)
(% 7 3)"
